縣市,使照序號,公寓大廈名稱,行政區,地址,戶數,管理組織型態,建物型態,重劃區標記,資料來源
嘉義市,,蘭潭市民大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘭潭公園銀座大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,長春世家管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,林森雅築管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,公園特區大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,甲子園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,飛虹園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,順利公園城管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,天香名園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,述陶淵明管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,健康生活大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,雅典公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘭潭DC-B棟公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,美街大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,永鎮公園廣場大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,賺錢廣場管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,大業新富管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,公園第一景公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘭潭DC社區G棟公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,江南世家公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,民生寶鎮大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,竹圍市場大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,大寶鎮大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,旭豐傑座公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,中興伍福公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,巴黎大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,中興伍吉大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,園中園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,波綠露大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,富貴天第大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市三貴銀座管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,漢諾雅郡第二期住戶管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,山海關大樓住戶管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市蘭潭新境華園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,都會公園大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,亞洲金融鉅星公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,英統金鑽大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,峇里島公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市東洋社區溫莎公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,金慶世賢名廈管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,港美管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,漢諾雅郡第一期管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
